"Plot Title: baddeck"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 10536701, SEN S/N: 10536701)","Temp, °C (LGR S/N: 10536701, SEN S/N: 10536701)","Sensor Depth, meters (LGR S/N: 10536701)"
107,11/04/14 12:11:37  PM,116.385,11.431,1.534
108,11/04/14 12:26:37  PM,116.431,11.528,1.538
109,11/04/14 12:41:37  PM,116.410,11.528,1.535
110,11/04/14 12:56:37  PM,116.326,11.528,1.525
111,11/04/14 01:11:37  PM,116.294,11.528,1.518
112,11/04/14 01:26:37  PM,116.147,11.528,1.500
113,11/04/14 01:41:37  PM,116.315,11.528,1.514
114,11/04/14 01:56:37  PM,116.309,11.625,1.510
115,11/04/14 02:11:37  PM,116.372,11.625,1.516
116,11/04/14 02:26:37  PM,116.288,11.625,1.506
117,11/04/14 02:41:37  PM,116.334,11.722,1.505
118,11/04/14 02:56:37  PM,116.391,11.819,1.507
119,11/04/14 03:11:37  PM,116.511,11.916,1.515
120,11/04/14 03:26:37  PM,116.431,12.013,1.504
121,11/04/14 03:41:37  PM,116.505,12.013,1.508
122,11/04/14 03:56:37  PM,116.641,12.013,1.517
123,11/04/14 04:11:37  PM,116.725,12.013,1.521
124,11/04/14 04:26:37  PM,116.774,11.916,1.522
125,11/04/14 04:41:37  PM,116.933,11.722,1.535
126,11/04/14 04:56:37  PM,117.083,12.013,1.544
127,11/04/14 05:11:37  PM,117.257,11.916,1.556
128,11/04/14 05:26:37  PM,117.400,11.819,1.565
129,11/04/14 05:41:37  PM,117.400,11.819,1.560
130,11/04/14 05:56:37  PM,117.515,11.819,1.568
131,11/04/14 06:11:37  PM,117.631,11.819,1.578
132,11/04/14 06:26:37  PM,117.698,11.916,1.581
133,11/04/14 06:41:37  PM,117.772,11.916,1.587
134,11/04/14 06:56:37  PM,117.789,11.819,1.588
135,11/04/14 07:11:37  PM,117.843,11.625,1.590
136,11/04/14 07:26:37  PM,117.871,11.528,1.590
137,11/04/14 07:41:37  PM,117.971,11.431,1.599
138,11/04/14 07:56:37  PM,117.990,11.625,1.599
139,11/04/14 08:11:37  PM,118.064,11.625,1.605
140,11/04/14 08:26:37  PM,118.087,11.431,1.606
141,11/04/14 08:41:37  PM,118.224,11.431,1.616
142,11/04/14 08:56:37  PM,118.139,11.431,1.604
143,11/04/14 09:11:37  PM,118.146,11.334,1.603
144,11/04/14 09:26:37  PM,118.146,11.334,1.602
145,11/04/14 09:41:37  PM,118.089,11.236,1.597
146,11/04/14 09:56:37  PM,118.009,11.334,1.588
147,11/04/14 10:11:37  PM,117.839,11.528,1.570
148,11/04/14 10:26:37  PM,117.891,11.041,1.573
149,11/04/14 10:41:37  PM,117.755,11.041,1.557
150,11/04/14 10:56:37  PM,117.891,11.041,1.570
151,11/04/14 11:11:37  PM,117.740,10.944,1.552
152,11/04/14 11:26:37  PM,117.757,10.846,1.553
153,11/04/14 11:41:37  PM,117.578,10.846,1.536
154,11/04/14 11:56:37  PM,117.683,10.846,1.544
155,11/05/14 12:11:37  AM,117.599,10.846,1.532
156,11/05/14 12:26:37  AM,117.605,10.748,1.529
157,11/05/14 12:41:37  AM,117.521,10.748,1.520
158,11/05/14 12:56:37  AM,117.538,10.651,1.523
159,11/05/14 01:11:37  AM,117.485,10.651,1.520
160,11/05/14 01:26:37  AM,117.469,10.748,1.519
161,11/05/14 01:41:37  AM,117.374,10.748,1.509
162,11/05/14 01:56:37  AM,117.332,10.748,1.504
163,11/05/14 02:11:37  AM,117.269,10.748,1.498
164,11/05/14 02:26:37  AM,117.237,10.748,1.495
165,11/05/14 02:41:37  AM,117.218,10.553,1.495
166,11/05/14 02:56:37  AM,117.183,10.455,1.491
167,11/05/14 03:11:37  AM,117.042,10.357,1.476
168,11/05/14 03:26:37  AM,116.989,10.357,1.470
169,11/05/14 03:41:37  AM,116.853,10.357,1.457
170,11/05/14 03:56:37  AM,117.073,10.357,1.479
171,11/05/14 04:11:37  AM,117.057,10.455,1.473
172,11/05/14 04:26:37  AM,116.977,10.553,1.463
173,11/05/14 04:41:37  AM,117.008,10.553,1.463
174,11/05/14 04:56:37  AM,117.103,10.553,1.469
175,11/05/14 05:11:37  AM,117.141,10.455,1.471
176,11/05/14 05:26:37  AM,117.267,10.455,1.485
177,11/05/14 05:41:37  AM,117.502,10.553,1.507
178,11/05/14 05:56:37  AM,117.406,10.748,1.498
179,11/05/14 06:11:37  AM,117.372,10.944,1.497
180,11/05/14 06:26:37  AM,117.318,11.139,1.492
181,11/05/14 06:41:37  AM,117.622,11.139,1.521
182,11/05/14 06:56:37  AM,117.702,11.041,1.527
183,11/05/14 07:11:37  AM,117.755,11.041,1.535
184,11/05/14 07:26:37  AM,117.729,10.944,1.529
185,11/05/14 07:41:37  AM,117.687,10.944,1.523
186,11/05/14 07:56:37  AM,117.736,10.846,1.530
187,11/05/14 08:11:37  AM,117.830,10.846,1.541
188,11/05/14 08:26:37  AM,117.754,10.553,1.534
189,11/05/14 08:41:37  AM,117.643,10.651,1.522
190,11/05/14 08:56:37  AM,117.670,10.553,1.526
191,11/05/14 09:11:37  AM,117.578,10.357,1.521
192,11/05/14 09:26:37  AM,117.506,10.161,1.518
193,11/05/14 09:41:37  AM,117.580,10.161,1.525
194,11/05/14 09:56:37  AM,117.680,10.063,1.538
