* ID=Minilog-T
* Serial Number=4157
* Study ID=Jay MacDonald
* Start Time=2012-03-12 15:01:26
* Finish Time=2012-08-23 13:01:26
* Sample Period=01:00:00
* Date(yyyy-mm-dd),Time(hh:mm:ss),Temperature (°C)
2012-03-20,03:01:26,18.29
2012-03-20,04:01:26,18.29
2012-03-20,05:01:26,18.29
2012-03-20,06:01:26,18.29
2012-03-20,07:01:26,18.14
2012-03-20,08:01:26,18.14
2012-03-20,09:01:26,18.29
2012-03-20,10:01:26,18.45
2012-03-20,11:01:26,18.76
2012-03-20,12:01:26,18.91
2012-03-20,13:01:26,19.07
2012-03-20,14:01:26,19.23
2012-03-20,15:01:26,19.23
2012-03-20,16:01:26,19.38
2012-03-20,17:01:26,19.54
2012-03-20,18:01:26,19.54
2012-03-20,19:01:26,19.54
2012-03-20,20:01:26,19.54
2012-03-20,21:01:26,19.54
2012-03-20,22:01:26,19.54
2012-03-20,23:01:26,19.54
2012-03-21,00:01:26,19.54
2012-03-21,01:01:26,19.54
2012-03-21,02:01:26,19.54
2012-03-21,03:01:26,19.38
2012-03-21,04:01:26,19.38
2012-03-21,05:01:26,19.38
2012-03-21,06:01:26,19.38
2012-03-21,07:01:26,19.38
2012-03-21,08:01:26,19.38
2012-03-21,09:01:26,19.38
2012-03-21,10:01:26,19.54
2012-03-21,11:01:26,19.85
2012-03-21,12:01:26,20.17
2012-03-21,13:01:26,20.17
2012-03-21,14:01:26,20.32
2012-03-21,15:01:26,20.32
2012-03-21,16:01:26,20.32
2012-03-21,17:01:26,20.32
2012-03-21,18:01:26,20.48
2012-03-21,19:01:26,20.48
2012-03-21,20:01:26,20.48
2012-03-21,21:01:26,20.48
2012-03-21,22:01:26,20.48
2012-03-21,23:01:26,20.48
2012-03-22,00:01:26,20.32
2012-03-22,01:01:26,20.32
2012-03-22,02:01:26,20.32
2012-03-22,03:01:26,20.32
2012-03-22,04:01:26,20.32
2012-03-22,05:01:26,20.17
2012-03-22,06:01:26,20.17
2012-03-22,07:01:26,20.01
2012-03-22,08:01:26,20.01
2012-03-22,09:01:26,20.01
2012-03-22,10:01:26,20.17
2012-03-22,11:01:26,20.32
2012-03-22,12:01:26,20.64
2012-03-22,13:01:26,20.64
2012-03-22,14:01:26,20.80
2012-03-22,15:01:26,20.96
2012-03-22,16:01:26,20.96
2012-03-22,17:01:26,20.96
2012-03-22,18:01:26,21.12
2012-03-22,19:01:26,21.12
2012-03-22,20:01:26,21.12
2012-03-22,21:01:26,20.96
2012-03-22,22:01:26,20.96
2012-03-22,23:01:26,20.96
2012-03-23,00:01:26,20.96
2012-03-23,01:01:26,20.80
2012-03-23,02:01:26,20.80
2012-03-23,03:01:26,20.80
2012-03-23,04:01:26,20.80
2012-03-23,05:01:26,20.64
2012-03-23,06:01:26,20.64
2012-03-23,07:01:26,20.48
2012-03-23,08:01:26,20.48
2012-03-23,09:01:26,20.32
2012-03-23,10:01:26,20.48
2012-03-23,11:01:26,20.48
2012-03-23,12:01:26,20.48
